latitude,longitude,name,desc,color
39.78373,-100.445882,"1 Jefferson Parkway #156, Lake Oswego, OR 97035",US,
45.515472,-122.6533,"1016 SE 12th Ave, Portland, OR 97214","1016 Southeast 12th Avenue, Portland, Multnomah County, OR, US",
45.522335,-122.528091,"19941 East Burnside st, Portland, OR 97233","East Burnside Street, Portland, Multnomah County, OR, US",
39.78373,-100.445882,"10940 SW Barnes Rd. #211, Portland, OR 97225",US,
39.78373,-100.445882,"1235 SE Division, Portland, OR 97202",US,
39.78373,-100.445882,"300 NW 8th Ave #309, Portland, OR 97209",US,
45.564385,-122.64861,", ,  97211","Portland, Multnomah County, OR, US",
39.78373,-100.445882,"2929 SW Multnomah Blvd #106, Portland, OR 97219",US,
45.526386,-122.637821,"2712 NE Glisan St., Portland, OR 97232","2712 Northeast Glisan Street, Portland, Multnomah County, OR, US",
45.559838,-122.598106,"6307 NE Sumner Street, Portland, OR 97218","6307 Northeast Sumner Street, Portland, Multnomah County, OR, US",
45.593704,-122.757384,"9132 N Kellogg Street, Portland, OR 97203","9132 North Kellogg Street, Portland, Multnomah County, OR, US",
45.476879,-122.80208,"12195 SW Allen Blvd, Beaverton, OR 97005","12195 Southwest Allen Boulevard, Beaverton, Washington County, OR, US",
45.375958,-122.649041,"2180 Hidden Springs Ct, West Linn, OR 97068","2180 Hidden Springs Court, West Linn, Clackamas County, OR, US",
39.78373,-100.445882,"1717 NE 406 Circle, Woodland, WA 98674",US,
45.50256,-122.634844,"2805 SE 30th Ave., Portland, OR 97202","2805 Southeast 30th Avenue, Portland, Multnomah County, OR, US",
45.451105,-122.603465,"5910 SE Maple Street, Milwaukie, OR 97222","5910 Southeast Maple Street, Milwaukie, Clackamas County, OR, US",
45.443244,-122.638401,"2305 SE Washington Street, Milwaukie, OR 97222","2305 Southeast Washington Street, Milwaukie, Clackamas County, OR, US",
39.78373,-100.445882,"1428 SE cora, Portland, OR 97202",US,
45.5485,-122.677973,"3543 N Missouri Ave, Portland, OR 97227","3543 North Missouri Avenue, Portland, Multnomah County, OR, US",
45.480757,-122.60649,"5506 SE Ramona St., Portland, OR 97206","5506 Southeast Ramona Street, Portland, Multnomah County, OR, US",
45.477616,-122.648914,"6214 SE MILWAUKIE AVE, Portland, OR 97202","6214 Southeast Milwaukie Avenue, Portland, Multnomah County, OR, US",
45.522964,-122.628165,"3427 E Burnside St, Portland, OR 97214","3427 East Burnside Street, Portland, Multnomah County, OR, US",
45.4874,-122.649107,"4806 SE 16th Ave., Portland, OR 97202","4806 Southeast 16th Avenue, Portland, Multnomah County, OR, US",
45.420675,-122.67065,", Lake Oswego, OR ","Lake Oswego, Clackamas County, OR, US",
45.478996,-122.625127,"3666 SE Woodstock Blvd, Portland, OR 97202","3666 Southeast Woodstock Boulevard, Portland, Multnomah County, OR, US",
39.78373,-100.445882,"17533 Reindeer Drive, Portland, OR 97229",US,
39.78373,-100.445882,"2225 NE Alberta Street Suite B, Portland, OR 97211",US,
45.482204,-122.646326,"1904 SE Ellis Street, Portland, OR 97202","1904 Southeast Ellis Street, Portland, Multnomah County, OR, US",
45.407078,-122.763662,"8396 SW Langtree Street, Tigard, OR 97224","8396 Southwest Langtree Street, Tigard, Washington County, OR, US",
39.78373,-100.445882,"2929 SW Multnomah Blvd, Ste 20, Portland, OR 97219",US,
39.78373,-100.445882,"360 SW 11th St., Dundee, OR 97115",US,
45.522763,-122.68044,"921 SW Oak Street, Portland, OR 97205","921 Southwest Oak Street, Portland, Multnomah County, OR, US",
39.78373,-100.445882,"4121 SE Woodstock, Portland, OR 97202",US,
39.78373,-100.445882,"3509 NE MLK Blvd, Portland, OR 97211",US,
39.78373,-100.445882,"24555 NW Oak Dr, Hillsboro, OR 97124",US,
39.78373,-100.445882,"200 Longview Way #62, Oregon City, OR 97045",US,
39.78373,-100.445882,"7619 N Berkeley Ave, Portland, OR 97203-6003",US,
45.504867,-122.625368,"3719 SE Division St, Portland, OR 97214","3719 Southeast Division Street, Portland, Multnomah County, OR, US",
39.78373,-100.445882,"17092 NE Tucson, Beaverton, OR 97006",US,
39.78373,-100.445882,"8911 SE Stark, Portland, OR 97216",US,
39.78373,-100.445882,"2310 SE 189th, Portland, OR 97233",US,
39.78373,-100.445882,"8109 SE Ramona, Portland, OR 97206",US,
45.534944,-122.646469,"1902 NE Broadway, Portland, OR 97232","1902 Northeast Broadway, Portland, Multnomah County, OR, US",
39.78373,-100.445882,"4134 N. Vancouver Ave.-G, Portland, OR 97217",US,
39.78373,-100.445882,"4210 NE Cully Blvd #11, Portland, OR 97218",US,
45.504438,-122.653402,"2524 SE 12th Ave, Portland, OR 97202","2524 Southeast 12th Avenue, Portland, Multnomah County, OR, US",
45.359245,-122.82873,"22219 SW Orland Street, Sherwood, OR 97140","22219 Southwest Orland Street, Sherwood, Washington County, OR, US",
39.78373,-100.445882,"2908 SW Hewitt Pl. #4, Troutdale, OR 97060",US,
39.78373,-100.445882,"222 SW Pine St. Apt 414, Portland, OR 97204",US,
39.78373,-100.445882,"3950 N Mississippi, Portland, OR 97227",US,
39.78373,-100.445882,"19550 SE Burnside St #46, Portland, OR 97233",US,
45.558919,-122.634618,"3008 NE Alberta St., Portland, OR 97211","3008 Northeast Alberta Street, Portland, Multnomah County, OR, US",
39.78373,-100.445882,"104 N Killingsworth St Apt 1, Portland, OR 97217",US,
45.512369,-122.630662,"3315 SE Hawthorne Blvd., Portland, OR 97214","3315 Southeast Hawthorne Boulevard, Portland, Multnomah County, OR, US",
39.78373,-100.445882,"6729 NE Rodney, Portland, OR 97211",US,
39.78373,-100.445882,"1330 NW 131st Ave, Portland, OR 97229",US,
39.78373,-100.445882,"3206 SE Hawthorne, Portland, OR 97214",US,
39.78373,-100.445882,"1308 SW 6th Ave, Battleground, WA 98604-2810",US,
39.78373,-100.445882,"208 Plowlan Ct, Knightdale, NC 27545",US,
45.587732,-122.409566,"1102 Division St, Camas, WA 98607","1102 Division Street, Camas, Clark County, WA, US",
39.78373,-100.445882,"2817 SW 21st, Remond, OR 97756",US,
39.78373,-100.445882,"17030 E Burnside, Portland, OR 97233",US,
39.78373,-100.445882,"1420 SE 16th Ave #306, Portland, OR 97214",US,
45.505498,-122.576265,"2424 SE 84th Ave, Portland, OR 97216","2424 Southeast 84th Avenue, Portland, Multnomah County, OR, US",
39.78373,-100.445882,"1003 SE Grant, Portland, OR 97214",US,
45.551622,-122.666423,"3952 N Williams Ave, Portland, OR 97227","3952 North Williams Avenue, Portland, Multnomah County, OR, US",
45.503521,-122.490594,"2590 SE 167th Ave., Portland, OR 97236","2590 Southeast 167th Avenue, Portland, Multnomah County, OR, US",
39.78373,-100.445882,"1801 NE 162nd Apt. 47, Portland, OR 97232",US,
45.494609,-122.538087,"3755 SE 122nd Ave, Portland, OR 97266","3755 Southeast 122nd Avenue, Portland, Multnomah County, OR, US",
39.78373,-100.445882,"2532 SE 17th Ave., #1, Portland, OR 97202",US,
45.519988,-122.679703,"708 SW Alder St., Portland, OR 97205","708 Southwest Alder Street, Portland, Multnomah County, OR, US",
39.78373,-100.445882,"16905 NE Court Ct, Portland, OR 97230",US,
39.78373,-100.445882,"12850 SE Harold St, Portland, OR 97236-4135",US,
39.78373,-100.445882,"1904 NE Couch, Apt 208, Portland, OR 97232",US,
45.536641,-122.663325,"215 NE Hancock St, Portland, OR 97212","215 Northeast Hancock Street, Portland, Multnomah County, OR, US",
39.78373,-100.445882,"5845 NE Hoyt St #411, Portland, OR 97213",US,
39.78373,-100.445882,"2027 NE 38th, Portland, OR 97212",US,
39.78373,-100.445882,"13955 SW Todd St., Beaverton, OR 97006",US,
39.78373,-100.445882,"5015 E Burnside, Apt 14B, Portland, OR 97215",US,
39.78373,-100.445882,"c/o Street Roots, 211 NW Davis, Portland, OR 97209",US,
39.78373,-100.445882,"14150 SW 97th Pl., Portland, OR 97224",US,
39.78373,-100.445882,"4800 SE 59th, Portland, OR 97206",US,
39.78373,-100.445882,"14710 NE 396 St Amboy, Vancouver, WA 98601",US,
45.53151,-122.689947,"1815 NW Northrup St., Portland, OR 97209","1815 Northwest Northrup Street, Portland, Multnomah County, OR, US",
39.78373,-100.445882,"13456 SW hawks Beard Rd #1511, Tigard, OR 97223",US,
45.512151,-122.616952,"4409 SE Hawthorne Blvd., Portland, OR 97215","4409 Southeast Hawthorne Boulevard, Portland, Multnomah County, OR, US",
39.78373,-100.445882,"726 NE Roselawn, Portland, OR 97211",US,
39.78373,-100.445882,"215 Greenridge Dr, #307, Lake Oswego, OR 97035",US,
39.78373,-100.445882,"1403 SE 37th Ave, #12, Portland, OR 97214",US,
45.573623,-122.666103,"7015 NE Cleveland Ave, Portland, OR 97211","7015 Northeast Cleveland Avenue, Portland, Multnomah County, OR, US",
45.576684,-122.673579,"633 N Stafford St, Portland, OR 97217","633 North Stafford Street, Portland, Multnomah County, OR, US",
45.284298,-123.010527,"380 NW 1st St, Dundee, OR 97115","380 Northwest 1st Street, Dundee, Yamhill County, OR, US",
45.519761,-122.65351,"436 SE 12th Ave, Portland, OR 97214","436 Southeast 12th Avenue, Portland, Multnomah County, OR, US",
39.78373,-100.445882,"1720 NW Lovejoy, #122, Portland, OR 97209",US,
39.78373,-100.445882,"16905 NE Couch, Portland, OR 97230",US,
39.78373,-100.445882,"14138 SE Stark, Portland, OR 97233",US,
45.48593,-122.556447,"10333 Raymond, Portland, OR 97266","10333 Southeast Raymond Street, Portland, Multnomah County, OR, US",
39.78373,-100.445882,"19100 E Burnside St D-122, Portland, OR 97233",US,
39.78373,-100.445882,"14625 NE Schulyer, Portland, OR 97230",US,
39.78373,-100.445882,"15732 SE Cordova Ct, Portland, OR 97267",US,
39.78373,-100.445882,"5010 NE 9th Unit A, Portland, OR 97211",US,
39.78373,-100.445882,"40 Cowlitz Street, #B, St. Helens, OR 97051",US,
45.523478,-122.994245,"149 NW Connell Ave., Hillsboro, OR 97124","149 Northwest Connell Avenue, Hillsboro, Washington County, OR, US",
39.78373,-100.445882,"1501 Pike Place #328, Seattle, WA 98101",US,
39.78373,-100.445882,"1123 NE Fremont, Portland, OR 97212",US,
45.145945,-122.608852,"34693 S Hwy 213, Molalla, OR 97038","South Highway 213, Molalla, Clackamas County, OR, US",
39.78373,-100.445882,"315 SW Montgomery, Portland, OR 97201",US,
39.78373,-100.445882,"1404 NE 3rd St. Ste. # 5, Bend, OR 97701",US,
